feature,source,family,description,aggregation,count_like,leakage_assessment
bureau__active_debt_sum,bureau,amounts,sum of debt on active credits,sum,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__limit_sum,bureau,amounts,"sum of AMT_CREDIT_SUM_LIMIT (card limits, negatives clipped)",sum,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__annuity_sum,bureau,amounts,sum of reported annuities,sum,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__overdue_sum_total,bureau,delinquency,sum of AMT_CREDIT_SUM_OVERDUE,sum,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__overdue_sum_max,bureau,delinquency,max AMT_CREDIT_SUM_OVERDUE,max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__max_overdue_max,bureau,delinquency,max of AMT_CREDIT_MAX_OVERDUE (worst ever overdue),max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__max_overdue_mean,bureau,delinquency,mean AMT_CREDIT_MAX_OVERDUE,mean,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__day_overdue_max,bureau,delinquency,max CREDIT_DAY_OVERDUE at application,max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__day_overdue_mean,bureau,delinquency,mean CREDIT_DAY_OVERDUE,mean,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__overdue_credit_count,bureau,delinquency,credits with CREDIT_DAY_OVERDUE > 0,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__prolong_sum,bureau,delinquency,sum of CNT_CREDIT_PROLONG,sum,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__debt_to_credit_ratio,bureau,ratios,total debt / total credit amount,ratio,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__overdue_to_debt_ratio,bureau,ratios,total overdue / total debt,ratio,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__days_credit_max,bureau,recency,DAYS_CREDIT of the most recent credit (closest to 0),max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__days_credit_min,bureau,recency,DAYS_CREDIT of the oldest credit,min,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__days_credit_mean,bureau,recency,mean DAYS_CREDIT,mean,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__days_update_max,bureau,recency,most recent DAYS_CREDIT_UPDATE (clipped <= 0),max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__enddate_remaining_max,bureau,recency,max planned remaining duration of active credits,max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__days_enddate_fact_max,bureau,recency,most recently closed credit (DAYS_ENDDATE_FACT),max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__bb_credits_with_history,bureau,monthly history,credits that appear in bureau_balance,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__bb_months_sum,bureau,monthly history,monthly records over all credits,sum,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__bb_history_max,bureau,monthly history,longest monthly history of one credit (months),max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__bb_dpd_months_sum,bureau,monthly history,months in DPD status (1-5) over all credits,sum,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__bb_dpd_share_mean,bureau,monthly history,mean over credits of DPD months / known-status months,mean,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__bb_status_max,bureau,monthly history,worst status severity ever (0-5),max,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__bb_severe_credits,bureau,monthly history,credits ever in status 3+ (61+ DPD),count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__bb_latest_dpd_credits,bureau,monthly history,credits whose latest known status is DPD,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__bb_recent_dpd_credits,bureau,monthly history,credits with a DPD month in the last 12 months,count,True,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__bb_closed_share_mean,bureau,monthly history,mean over credits of closed months share,mean,False,"safe: DAYS_* are relative to the current application (<= 0 except the planned DAYS_CREDIT_ENDDATE), amounts/overdue are 'at the time of application', bureau_balance months are in [-96, 0]"
bureau__has_history,bureau,history indicator,"1 if the customer has a row in bureau, else 0",indicator,True,safe: presence of historical records only
previous__count,previous,counts,number of previous applications,count,True,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__approved_count,previous,counts,applications with status Approved,count,True,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__refused_count,previous,counts,applications with status Refused,count,True,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__canceled_count,previous,counts,applications with status Canceled,count,True,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__unused_offer_count,previous,counts,applications with status Unused offer,count,True,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__approval_rate,previous,rates,approved / all previous applications,ratio,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__refusal_rate,previous,rates,refused / all previous applications,ratio,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__cancellation_rate,previous,rates,canceled / all previous applications,ratio,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__last_application_refused,previous,rates,most recent previous application (by DAYS_DECISION) was refused,last,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__last_application_approved,previous,rates,most recent previous application was approved,last,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__decisions_last_year,previous,recency,previous applications decided in the last 365 days,count,True,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__days_decision_max,previous,recency,DAYS_DECISION of the most recent application,max,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__days_decision_min,previous,recency,DAYS_DECISION of the oldest application,min,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__days_decision_mean,previous,recency,mean DAYS_DECISION,mean,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__amt_application_mean,previous,amounts,mean requested amount (AMT_APPLICATION > 0),mean,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__amt_application_max,previous,amounts,max requested amount,max,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__amt_credit_approved_mean,previous,amounts,mean granted AMT_CREDIT over approved applications,mean,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__amt_credit_approved_max,previous,amounts,max granted AMT_CREDIT over approved applications,max,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__amt_credit_approved_sum,previous,amounts,sum of granted AMT_CREDIT over approved applications,sum,True,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__amt_annuity_approved_mean,previous,amounts,mean annuity over approved applications,mean,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__amt_goods_price_mean,previous,amounts,mean goods price,mean,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__amt_down_payment_mean,previous,amounts,mean down payment,mean,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__rate_down_payment_mean,previous,amounts,mean normalized down-payment rate,mean,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__credit_to_application_ratio_mean,previous,amounts,mean AMT_CREDIT / AMT_APPLICATION (application > 0),mean,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__cnt_payment_approved_mean,previous,terms,mean term (CNT_PAYMENT) of approved credits,mean,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__cnt_payment_approved_max,previous,terms,max term of approved credits,max,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__cash_loan_share,previous,products,share of Cash loans,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__consumer_loan_share,previous,products,share of Consumer loans,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__revolving_loan_share,previous,products,share of Revolving loans,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__portfolio_pos_share,previous,products,share of POS portfolio,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__portfolio_cash_share,previous,products,share of Cash portfolio,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__portfolio_cards_share,previous,products,share of Cards portfolio,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__x_sell_share,previous,products,share of x-sell product type,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__walk_in_share,previous,products,share of walk-in product type,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__yield_high_share,previous,products,share of high yield group,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__yield_low_share,previous,products,share of low_normal / low_action yield groups,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__client_new_share,previous,products,share of applications made as a New client,share,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__insured_rate,previous,products,mean NFLAG_INSURED_ON_APPROVAL,mean,False,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__reject_hc_count,previous,rejections,refusals with reason HC,count,True,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__reject_limit_count,previous,rejections,refusals with reason LIMIT,count,True,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__reject_scoring_count,previous,rejections,refusals with reason SCO or SCOFR,count,True,safe: only DAYS_DECISION (always < 0) is used as a time anchor; the ambiguous DAYS_FIRST_DRAWING/FIRST_DUE/LAST_DUE*/TERMINATION columns are excluded
previous__has_history,previous,history indicator,"1 if the customer has a row in previous, else 0",indicator,True,safe: presence of historical records only
installments__n_installments,installments,volume,installments (after summing split payments),count,True,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__n_contracts,installments,volume,distinct previous credits with installments,nunique,True,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__n_split_payments,installments,volume,installments paid in more than one part,count,True,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__days_since_last_instalment,installments,recency,DAYS_INSTALMENT of the most recent installment,max,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__history_span_days,installments,recency,DAYS_INSTALMENT of the oldest installment,min,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__late_count,installments,timeliness,installments paid after the due date,count,True,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__late_rate,installments,timeliness,share of paid installments that were late,share,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__severe_late_rate,installments,timeliness,share paid more than 30 days late,share,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__days_late_mean,installments,timeliness,"mean (entry - due) days, negative = early",mean,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__days_late_max,installments,timeliness,max days late,max,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__days_late_min,installments,timeliness,earliest payment (most negative days late),min,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__days_late_std,installments,timeliness,std of days late (timing variability),std,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__late_days_when_late_mean,installments,timeliness,mean days late over late installments only,mean,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__unpaid_rate,installments,completeness,share of installments with no payment date,share,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__payment_ratio_mean,installments,completeness,"mean paid / scheduled (clipped to [0, 2])",mean,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__payment_ratio_std,installments,completeness,std of paid / scheduled,std,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__underpaid_rate,installments,completeness,share of installments paid short by > 1 unit,share,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__overpaid_rate,installments,completeness,share of installments paid over by > 1 unit,share,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__scheduled_sum,installments,completeness,total scheduled installment amount,sum,True,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__paid_sum,installments,completeness,total amount paid,sum,True,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__payment_gap_sum,installments,completeness,"sum of (scheduled - paid), positive = short-fall",sum,True,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__paid_share,installments,completeness,paid_sum / scheduled_sum,ratio,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__n_installments_12m,installments,recent,installments due in the last 365 days,count,True,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__late_rate_12m,installments,recent,late share over the last 365 days,share,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__underpaid_rate_12m,installments,recent,under-paid share over the last 365 days,share,False,safe: DAYS_INSTALMENT and DAYS_ENTRY_PAYMENT are relative to the current application and both <= -1 on every row; lateness = entry - instalment (positive = late)
installments__has_history,installments,history indicator,"1 if the customer has a row in installments, else 0",indicator,True,safe: presence of historical records only
credit_card__n_months,credit_card,volume,monthly card records,count,True,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__n_cards,credit_card,volume,distinct previous credit cards,nunique,True,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__months_min,credit_card,recency,oldest month observed (MONTHS_BALANCE),min,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__months_max,credit_card,recency,most recent month observed,max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__balance_mean,credit_card,balances,mean monthly balance,mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__balance_max,credit_card,balances,max monthly balance,max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__balance_std,credit_card,balances,std of monthly balance,std,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__balance_latest_mean,credit_card,balances,"balance in the latest month of each card, averaged over cards",last,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__limit_mean,credit_card,limits,mean credit limit,mean,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
credit_card__limit_max,credit_card,limits,max credit limit,max,False,"safe: monthly snapshots with MONTHS_BALANCE in [-96, -1] relative to the current application"
